gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
ZMYM3,11,99,0.06735454545454543,-0.06304545454545454,0.13039999999999996,0.6253974373438953,0.867320725863756,1.0,1.0
HIST2H2BE,11,99,-0.0299181818181818,-0.14163939393939393,0.11172121212121212,0.6253974373438953,0.867320725863756,1.0,1.0
IKZF4,11,99,-0.09340909090909091,0.06658282828282827,-0.15999191919191919,0.6253974373438953,0.867320725863756,1.0,1.0
LUZP1,11,99,-0.23310909090909088,-0.015597979797979803,-0.21751111111111107,0.6253974373438953,0.867320725863756,1.0,1.0
CSPP1,11,99,-0.09672727272727277,0.12285656565656566,-0.21958383838383844,0.6253974373438953,0.867320725863756,1.0,1.0
HINT1,11,99,-0.2345090909090909,0.00981212121212122,-0.2443212121212121,0.6253974373438953,0.867320725863756,1.0,1.0
ARHGAP26,11,99,0.1139090909090909,-0.012040404040404042,0.12594949494949495,0.6253974373438953,0.867320725863756,1.0,1.0
TOB1,11,99,-0.4224636363636364,-0.0064696969696969526,-0.4159939393939394,0.6253974373438953,0.867320725863756,1.0,1.0
MIR6859-1,11,99,-0.13493636363636366,0.1697666666666667,-0.30470303030303036,0.6253974373438953,0.867320725863756,1.0,1.0
CD47,11,99,-0.06986363636363636,0.10566161616161616,-0.17552525252525253,0.6253974373438953,0.867320725863756,1.0,1.0
SLC25A3,11,99,0.1809727272727273,-0.0154626262626263,0.1964353535353536,0.6253974373438953,0.867320725863756,1.0,1.0
GUSB,11,99,-0.3021363636363636,-0.045064646464646446,-0.2570717171717172,0.6253974373438953,0.867320725863756,1.0,1.0
GSTM2,11,99,-0.04834545454545456,-0.04640707070707072,-0.0019383838383838364,0.6253974373438953,0.867320725863756,1.0,1.0
CNEP1R1,11,99,0.18015454545454546,0.005256565656565636,0.17489797979797983,0.6253974373438953,0.867320725863756,1.0,1.0
ST3GAL3,11,99,-0.21546363636363636,0.01518787878787879,-0.23065151515151514,0.6253974373438953,0.867320725863756,1.0,1.0
ZNF829,11,99,0.14179999999999998,0.023311111111111105,0.11848888888888888,0.6253974373438953,0.867320725863756,1.0,1.0
MRPL41,11,99,0.20040909090909087,0.03687878787878788,0.163530303030303,0.6253974373438953,0.867320725863756,1.0,1.0
ARVCF,11,99,0.05795454545454544,-0.027319191919191885,0.08527373737373732,0.6253974373438953,0.867320725863756,1.0,1.0
TLK1,11,99,0.09370000000000006,-0.005931313131313136,0.0996313131313132,0.6253974373438953,0.867320725863756,1.0,1.0
CLP1,11,99,0.31829999999999986,0.05172626262626264,0.26657373737373724,0.6253974373438953,0.867320725863756,1.0,1.0
TTLL4,11,99,0.06611818181818184,-0.047959595959595945,0.11407777777777778,0.6253974373438953,0.867320725863756,1.0,1.0
TUBA1B,11,99,-0.2797818181818182,-0.11710808080808081,-0.16267373737373736,0.6253974373438953,0.867320725863756,1.0,1.0
NIP7,11,99,-0.1731,0.02152525252525252,-0.19462525252525253,0.6253974373438953,0.867320725863756,1.0,1.0
C1QTNF6,11,99,0.08827272727272728,0.05393333333333332,0.03433939393939396,0.6253974373438953,0.867320725863756,1.0,1.0
E2F8,11,99,-0.2488090909090909,-0.09686666666666667,-0.1519424242424242,0.6253974373438953,0.867320725863756,1.0,1.0
SLC23A2,11,99,0.0012363636363636416,0.10541717171717173,-0.10418080808080808,0.6253974373438953,0.867320725863756,1.0,1.0
MMADHC-DT,11,99,0.0024272727272727124,-0.35681818181818176,0.3592454545454545,0.6258225609107235,0.8678476128131297,1.0,1.0
